Cinput1	 Cinput2	 K0	 v0	 ero_rate	 depo_rate1	 depo_rate2	 RRMSE
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000600	 -0.002500	 5.291128
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000600	 -0.002000	 5.407344
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000600	 -0.001500	 5.630678
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000600	 -0.001000	 5.962783
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000600	 -0.000500	 6.399423
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.001000	 -0.003000	 5.211093
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.001000	 -0.002500	 5.230188
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.001000	 -0.002000	 5.347729
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.001000	 -0.001500	 5.573451
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.001000	 -0.001000	 5.908774
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.001000	 -0.000500	 6.349130
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000800	 -0.003000	 5.230615
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000800	 -0.002500	 5.249639
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000800	 -0.002000	 5.366754
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000800	 -0.001500	 5.591709
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000800	 -0.001000	 5.925999
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000800	 -0.000500	 6.365162
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000600	 -0.003000	 5.273567
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000600	 -0.002500	 5.292437
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000600	 -0.002000	 5.408625
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000600	 -0.001500	 5.631908
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000600	 -0.001000	 5.963944
14.000000	 19.000000	 0.000500	 0.020000	 0.000500	 -0.000600	 -0.000500	 6.400505
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.001000	 -0.003000	 5.220909
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.001000	 -0.002500	 5.239969
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.001000	 -0.002000	 5.357295
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.001000	 -0.001500	 5.582631
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.001000	 -0.001000	 5.917433
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.001000	 -0.000500	 6.357189
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000800	 -0.003000	 5.240395
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000800	 -0.002500	 5.259384
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000800	 -0.002000	 5.376286
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000800	 -0.001500	 5.600858
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000800	 -0.001000	 5.934632
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000800	 -0.000500	 6.373201
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000600	 -0.003000	 5.283267
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000600	 -0.002500	 5.302103
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000600	 -0.002000	 5.418083
